"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050099,MSPB-1,1.024916,,01/01/2018,12/31/2018
050100,MSPB-1,0.972047,,01/01/2018,12/31/2018
050101,MSPB-1,1.012222,,01/01/2018,12/31/2018
050102,MSPB-1,1.216558,,01/01/2018,12/31/2018
050103,MSPB-1,1.019064,,01/01/2018,12/31/2018
050104,MSPB-1,1.061943,,01/01/2018,12/31/2018
050107,MSPB-1,0.924266,,01/01/2018,12/31/2018
050108,MSPB-1,0.977584,,01/01/2018,12/31/2018
050110,MSPB-1,0.994282,,01/01/2018,12/31/2018
050112,MSPB-1,1.024805,,01/01/2018,12/31/2018
050113,MSPB-1,0.958776,,01/01/2018,12/31/2018
050115,MSPB-1,1.026355,,01/01/2018,12/31/2018
050116,MSPB-1,1.054375,,01/01/2018,12/31/2018
050118,MSPB-1,0.951906,,01/01/2018,12/31/2018
050121,MSPB-1,0.942515,,01/01/2018,12/31/2018
050122,MSPB-1,1.008527,,01/01/2018,12/31/2018
050124,MSPB-1,1.044199,,01/01/2018,12/31/2018
050125,MSPB-1,0.971850,,01/01/2018,12/31/2018
050126,MSPB-1,1.100386,,01/01/2018,12/31/2018
050127,MSPB-1,0.882962,,01/01/2018,12/31/2018
050128,MSPB-1,1.014814,,01/01/2018,12/31/2018
050129,MSPB-1,1.033946,,01/01/2018,12/31/2018
050131,MSPB-1,0.955694,,01/01/2018,12/31/2018
050132,MSPB-1,1.239251,,01/01/2018,12/31/2018
050133,MSPB-1,0.951828,,01/01/2018,12/31/2018
050135,MSPB-1,1.284890,,01/01/2018,12/31/2018
050136,MSPB-1,0.944704,,01/01/2018,12/31/2018
050137,MSPB-1,0.905536,,01/01/2018,12/31/2018
050138,MSPB-1,0.925576,,01/01/2018,12/31/2018
050139,MSPB-1,0.831141,,01/01/2018,12/31/2018
050140,MSPB-1,0.937169,,01/01/2018,12/31/2018
050145,MSPB-1,0.939016,,01/01/2018,12/31/2018
050149,MSPB-1,0.956956,,01/01/2018,12/31/2018
050150,MSPB-1,0.900597,,01/01/2018,12/31/2018
050152,MSPB-1,0.997620,,01/01/2018,12/31/2018
050153,MSPB-1,1.033827,,01/01/2018,12/31/2018
050158,MSPB-1,1.111836,,01/01/2018,12/31/2018
050159,MSPB-1,0.946904,,01/01/2018,12/31/2018
050167,MSPB-1,0.988700,,01/01/2018,12/31/2018
050168,MSPB-1,1.028040,,01/01/2018,12/31/2018
050169,MSPB-1,0.957343,,01/01/2018,12/31/2018
050174,MSPB-1,0.989942,,01/01/2018,12/31/2018
050179,MSPB-1,0.995951,,01/01/2018,12/31/2018
050180,MSPB-1,0.959005,,01/01/2018,12/31/2018
050189,MSPB-1,0.831410,,01/01/2018,12/31/2018
050191,MSPB-1,1.064061,,01/01/2018,12/31/2018
050192,MSPB-1,0.919256,,01/01/2018,12/31/2018
050194,MSPB-1,0.954467,,01/01/2018,12/31/2018
050195,MSPB-1,0.966917,,01/01/2018,12/31/2018
050197,MSPB-1,0.961712,,01/01/2018,12/31/2018
050204,MSPB-1,1.007977,,01/01/2018,12/31/2018
050205,MSPB-1,1.397049,,01/01/2018,12/31/2018
050211,MSPB-1,1.064423,,01/01/2018,12/31/2018
050222,MSPB-1,0.955248,,01/01/2018,12/31/2018
050224,MSPB-1,0.998321,,01/01/2018,12/31/2018
050225,MSPB-1,0.932431,,01/01/2018,12/31/2018
050226,MSPB-1,1.160860,,01/01/2018,12/31/2018
050228,MSPB-1,0.961556,,01/01/2018,12/31/2018
050230,MSPB-1,1.064154,,01/01/2018,12/31/2018
050231,MSPB-1,0.996244,,01/01/2018,12/31/2018
050232,MSPB-1,0.966553,,01/01/2018,12/31/2018
050234,MSPB-1,0.867850,,01/01/2018,12/31/2018
050235,MSPB-1,1.043718,,01/01/2018,12/31/2018
050236,MSPB-1,0.995824,,01/01/2018,12/31/2018
050238,MSPB-1,1.094063,,01/01/2018,12/31/2018
050239,MSPB-1,1.029872,,01/01/2018,12/31/2018
050242,MSPB-1,0.973541,,01/01/2018,12/31/2018
050243,MSPB-1,0.990768,,01/01/2018,12/31/2018
050245,MSPB-1,1.088137,,01/01/2018,12/31/2018
050248,MSPB-1,1.013227,,01/01/2018,12/31/2018
050254,MSPB-1,0.910028,,01/01/2018,12/31/2018
050257,MSPB-1,1.068167,,01/01/2018,12/31/2018
050261,MSPB-1,0.958047,,01/01/2018,12/31/2018
050262,MSPB-1,1.015860,,01/01/2018,12/31/2018
050272,MSPB-1,0.962295,,01/01/2018,12/31/2018
050276,MSPB-1,0.891016,,01/01/2018,12/31/2018
050278,MSPB-1,1.004324,,01/01/2018,12/31/2018
050279,MSPB-1,0.932093,,01/01/2018,12/31/2018
050280,MSPB-1,0.973909,,01/01/2018,12/31/2018
050281,MSPB-1,1.176872,,01/01/2018,12/31/2018
050283,MSPB-1,0.968545,,01/01/2018,12/31/2018
050289,MSPB-1,0.945656,,01/01/2018,12/31/2018
050290,MSPB-1,0.976677,,01/01/2018,12/31/2018
050291,MSPB-1,0.940164,,01/01/2018,12/31/2018
050292,MSPB-1,0.986759,,01/01/2018,12/31/2018
050295,MSPB-1,0.980151,,01/01/2018,12/31/2018
050296,MSPB-1,0.903872,,01/01/2018,12/31/2018
050298,MSPB-1,0.987085,,01/01/2018,12/31/2018
050300,MSPB-1,1.016160,,01/01/2018,12/31/2018
050301,MSPB-1,0.880078,,01/01/2018,12/31/2018
050305,MSPB-1,1.012173,,01/01/2018,12/31/2018
050308,MSPB-1,0.986401,,01/01/2018,12/31/2018
050309,MSPB-1,0.937585,,01/01/2018,12/31/2018
050313,MSPB-1,1.002746,,01/01/2018,12/31/2018
050315,MSPB-1,1.064982,,01/01/2018,12/31/2018
050320,MSPB-1,1.073051,,01/01/2018,12/31/2018
050324,MSPB-1,0.996568,,01/01/2018,12/31/2018
050327,MSPB-1,0.995555,,01/01/2018,12/31/2018
050329,MSPB-1,1.026752,,01/01/2018,12/31/2018
050334,MSPB-1,0.996185,,01/01/2018,12/31/2018
050335,MSPB-1,0.855263,,01/01/2018,12/31/2018
050336,MSPB-1,0.938985,,01/01/2018,12/31/2018
050342,MSPB-1,0.941925,,01/01/2018,12/31/2018
050348,MSPB-1,1.008261,,01/01/2018,12/31/2018
050350,MSPB-1,1.026666,,01/01/2018,12/31/2018
050351,MSPB-1,0.932657,,01/01/2018,12/31/2018
050352,MSPB-1,0.881681,,01/01/2018,12/31/2018
050353,MSPB-1,0.963223,,01/01/2018,12/31/2018
050357,MSPB-1,0.947696,,01/01/2018,12/31/2018
050360,MSPB-1,0.967092,,01/01/2018,12/31/2018
050367,MSPB-1,0.975037,,01/01/2018,12/31/2018
050373,MSPB-1,0.955630,,01/01/2018,12/31/2018
050376,MSPB-1,0.880121,,01/01/2018,12/31/2018
050378,MSPB-1,1.131700,,01/01/2018,12/31/2018
050380,MSPB-1,1.029316,,01/01/2018,12/31/2018
050382,MSPB-1,1.127124,,01/01/2018,12/31/2018
050390,MSPB-1,1.055111,,01/01/2018,12/31/2018
